;TAZ,Concept A Zone Number
574,65
575,65
576,65
577,65
578,65
579,65
580,65
581,65
582,65
583,65
584,65
585,65
586,65
587,65
588,65
589,66
590,66
591,66
592,66
593,66
594,66
595,66
596,66
597,66
598,66
599,66
600,66
601,66
602,66
603,66
604,66
605,66
606,52
607,52
608,52
609,52
610,52
611,52
612,52
613,52
614,52
615,52
616,52
617,52
618,52
619,52
620,52
621,66
622,66
623,66
624,66
625,66
626,66
627,66
628,66
629,66
630,66
631,66
632,66
633,66
634,66
635,66
636,66
637,66
638,65
639,65
640,65
641,65
642,65
643,65
644,65
645,65
646,65
647,65
648,65
649,65
650,65
651,65
652,65
653,65
654,65
655,65
656,65
657,65
658,65
659,65
660,65
661,65
662,65
663,65
664,65
665,65
666,65
667,65
668,65
669,65
670,65
671,65
672,65
673,65
674,65
675,65
676,65
677,65
678,65
679,65
680,65
681,67
682,67
683,67
684,67
685,67
686,67
687,67
688,67
689,67
690,67
691,67
692,67
693,67
694,67
695,67
696,67
697,54
698,56
699,56
700,56
701,56
702,56
703,56
704,55
705,55
706,55
707,55
708,55
709,55
710,55
711,55
712,55
713,56
714,56
715,49
716,49
717,49
718,49
719,49
720,49
721,49
722,49
723,49
724,49
725,49
726,49
727,49
728,49
729,50
730,50
731,50
732,50
733,50
734,44
735,50
736,50
737,50
738,50
739,50
740,50
741,50
742,50
743,50
744,50
745,49
746,51
747,52
748,52
749,52
750,52
751,52
752,53
753,53
754,53
755,53
756,53
757,53
758,53
759,53
760,53
761,53
762,53
763,53
764,53
765,53
766,53
767,53
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,53
776,53
777,53
778,53
779,53
780,53
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,64
808,64
809,64
810,64
811,64
812,64
813,64
814,64
815,64
816,64
817,64
818,64
819,64
820,44
821,64
822,64
823,64
824,64
825,64
826,64
827,64
828,64
829,64
830,64
831,64
832,64
833,64
834,64
835,64
836,64
837,64
838,64
839,64
840,64
841,64
842,64
843,44
844,44
845,44
846,44
847,64
848,64
849,64
850,64
851,45
852,64
853,45
854,45
855,45
856,45
857,45
858,45
859,45
860,45
861,45
862,45
863,45
864,45
865,45
866,45
867,45
868,45
869,45
870,45
871,45
872,45
873,45
874,43
875,45
876,45
877,45
878,45
879,45
880,45
881,45
882,45
883,45
884,45
885,45
886,45
887,45
888,45
889,45
890,45
891,45
892,45
893,45
894,45
895,45
896,45
897,45
898,45
899,45
900,45
901,45
902,45
903,45
904,45
905,41
906,41
907,45
908,41
909,41
910,41
911,41
912,41
913,41
914,41
915,41
916,41
917,41
918,41
919,41
920,41
921,41
922,41
923,41
924,41
925,41
926,41
927,41
928,41
929,41
930,41
931,41
932,41
933,41
934,41
935,41
936,41
937,41
938,41
939,41
940,41
941,41
942,41
943,41
944,41
945,41
946,41
947,41
948,42
949,42
950,42
951,42
952,42
953,42
954,42
955,42
956,42
957,42
958,42
959,42
960,42
961,42
962,42
963,42
964,42
965,41
966,41
967,41
968,41
969,41
970,41
971,41
972,41
973,41
974,41
975,41
976,41
977,41
978,41
979,41
980,41
981,41
982,41
983,41
984,41
985,41
986,41
987,41
988,41
989,41
990,41
991,41
992,41
993,41
994,41
995,41
996,41
997,41
998,41
999,41
1000,41
1001,41
1002,41
1003,41
1004,41
1005,41
1006,41
1007,41
1008,41
1009,41
1010,41
1011,41
1012,41
1013,41
1014,41
1015,41
1016,41
1017,41
1018,41
1019,41
1020,41
1021,41
1022,41
1023,41
1024,41
1025,41
1026,41
1027,41
1028,41
1029,41
1030,41
1031,41
1032,41
1033,41
1034,41
1035,41
1036,41
1037,41
1038,41
1039,41
1040,39
1041,39
1042,39
1043,39
1044,39
1045,39
1046,39
1047,39
1048,39
1049,39
1050,39
1051,39
1052,39
1053,39
1054,39
1055,39
1056,39
1057,39
1058,39
1059,39
1060,39
1061,39
1062,39
1063,39
1064,39
1065,39
1066,39
1067,39
1068,39
1069,39
1070,39
1071,39
1072,39
1073,39
1074,39
1075,39
1076,39
1077,39
1078,39
1079,38
1080,38
1081,38
1082,38
1083,38
1084,38
1085,38
1086,38
1087,37
1088,38
1089,38
1090,38
1091,37
1092,37
1093,37
1094,37
1095,37
1096,37
1097,36
1098,36
1099,36
1100,36
1101,36
1102,36
1103,36
1104,36
1105,36
1106,36
1107,36
1108,36
1109,36
1110,36
1111,36
1112,36
1113,36
1114,36
1115,36
1116,36
1117,36
1118,36
1119,36
1120,36
1121,47
1122,36
1123,37
1124,37
1125,37
1126,37
1127,47
1128,47
1129,47
1130,47
1131,46
1132,46
1133,47
1134,47
1135,47
1136,47
1137,47
1138,36
1139,47
1140,47
1141,47
1142,47
1143,47
1144,47
1145,47
1146,47
1147,47
1148,47
1149,47
1150,46
1151,46
1152,46
1153,46
1154,46
1155,46
1156,46
1157,46
1158,46
1159,46
1160,46
1161,48
1162,47
1163,47
1164,47
1165,48
1166,48
1167,48
1168,48
1169,48
1170,48
1171,48
1172,48
1173,48
1174,48
1175,48
1176,48
1177,32
1178,33
1179,33
1180,33
1181,33
1182,33
1183,34
1184,34
1185,33
1186,34
1187,34
1188,34
1189,34
1190,34
1191,34
1192,34
1193,34
1194,34
1195,34
1196,35
1197,34
1198,35
1199,35
1200,35
1201,35
1202,35
1203,35
1204,35
1205,35
1206,35
1207,35
1208,35
1209,35
1210,35
1211,22
1212,22
1213,22
1214,22
1215,22
1216,22
1217,22
1218,23
1219,23
1220,23
1221,23
1222,23
1223,23
1224,23
1225,23
1226,23
1227,23
1228,23
1229,23
1230,23
1231,23
1232,23
1233,23
1234,23
1235,23
1236,23
1237,23
1238,23
1239,23
1240,23
1241,23
1242,23
1243,23
1244,23
1245,23
1246,23
1247,25
1248,24
1249,25
1250,28
1251,29
1252,29
1253,29
1254,28
1255,28
1256,28
1257,28
1258,28
1259,28
1260,28
1261,28
1262,28
1263,28
1264,28
1265,28
1266,28
1267,28
1268,28
1269,28
1270,27
1271,27
1272,27
1273,27
1274,27
1275,27
1276,27
1277,27
1278,27
1279,27
1280,27
1281,27
1282,27
1283,27
1284,27
1285,27
1286,27
1287,26
1288,26
1289,26
1290,63
1291,24
1292,24
1293,18
1294,18
1295,18
1296,18
1297,18
1298,18
1299,18
1300,18
1301,18
1302,18
1303,18
1304,18
1305,18
1306,18
1307,18
1308,19
1309,62
1310,62
1311,18
1313,61
1314,61
1315,62
1316,61
1317,61
1318,9
1319,17
1320,17
1321,17
1322,17
1323,17
1324,17
1325,10
1326,10
1327,10
1328,8
1329,10
1330,10
1331,10
1332,10
1333,10
1334,10
1335,10
1336,10
1337,8
1338,8
1339,8
1340,8
1341,8
1342,8
1343,8
1344,8
1345,8
1346,8
1347,8
1348,7
1349,7
1350,9
1351,7
1352,9
1353,9
1354,7
1355,7
1356,7
1357,7
1358,7
1359,7
1360,7
1361,7
1362,7
1363,7
1364,7
1365,7
1366,7
1367,5
1368,5
1369,7
1370,7
1371,7
1372,7
1373,7
1374,7
1375,7
1376,7
1377,7
1378,7
1379,7
1380,7
1381,7
1382,7
1383,6
1384,6
1385,6
1386,6
1387,8
1388,6
1389,4
1390,4
1391,4
1392,6
1393,6
1394,5
1395,5
1396,5
1397,5
1398,59
1399,59
1400,59
1401,59
1402,58
1403,4
1404,11
1405,12
1406,12
1407,12
1408,12
1409,12
1410,12
1411,12
1412,12
1413,12
1414,12
1415,11
1416,60
1417,13
1418,13
1419,14
1420,14
1421,14
1422,14
1423,14
1424,14
1425,14
1426,14
1427,14
1428,14
1429,14
1430,14
1431,14
1432,14
1433,14
1434,14
1435,14
1436,14
1437,14
1438,14
1439,14
1440,14
1441,14
1442,16
1443,16
1444,16
1445,16
1446,16
1447,16
1448,16
1449,16
1450,16
1451,16
1452,16
1453,16
1454,15
