;TAZ,Concept C Zone Number
555,10
556,10
557,10
558,10
559,10
560,10
561,10
562,10
563,10
564,10
565,9
566,10
567,10
568,10
569,9
570,9
571,9
572,9
573,9
574,10
575,10
576,10
577,10
578,10
579,10
580,10
581,10
582,10
583,10
584,10
585,10
586,10
587,10
588,10
589,10
590,10
591,10
592,10
593,10
594,10
595,10
596,10
597,10
598,10
599,10
600,10
601,10
602,10
603,10
604,10
605,10
606,10
607,10
608,10
609,7
610,7
611,7
612,7
613,7
614,7
615,7
616,7
617,7
618,7
619,10
620,10
621,10
622,10
623,10
624,10
625,10
626,10
627,10
628,10
629,10
630,10
631,10
632,10
633,10
634,10
635,10
636,10
637,10
638,10
639,10
640,10
641,10
642,10
643,10
644,10
645,10
646,10
647,10
648,9
649,10
650,10
651,9
652,9
653,9
654,9
655,9
656,9
657,9
658,9
659,9
660,9
661,9
662,9
663,9
664,9
665,9
666,9
667,9
668,9
669,9
670,9
671,9
672,9
673,9
674,9
675,9
676,9
677,9
678,9
679,9
680,9
681,10
682,10
683,10
684,10
685,9
686,9
687,9
688,9
689,9
690,9
691,9
692,9
693,9
694,9
695,9
696,9
697,9
698,8
699,8
700,8
701,8
702,8
703,8
704,8
705,8
706,8
707,8
708,8
709,8
710,8
711,8
712,8
713,8
714,8
715,6
716,19
717,19
718,19
719,19
720,19
721,19
722,19
723,19
724,19
725,19
726,19
727,19
728,19
729,19
730,19
731,19
732,19
733,19
734,20
735,19
736,19
737,19
738,19
739,19
740,19
741,19
742,19
743,19
744,19
745,19
746,19
747,7
748,7
749,7
750,7
751,7
752,7
753,7
754,7
755,7
756,7
757,7
758,7
759,7
760,7
761,7
762,7
763,7
764,7
765,7
766,7
767,7
768,7
769,7
770,7
771,7
772,7
773,7
774,7
775,7
776,7
777,7
778,7
779,7
780,7
781,7
782,7
783,7
784,7
785,7
786,7
787,7
788,20
789,20
790,20
791,20
792,20
793,20
794,20
795,20
796,20
797,20
798,20
799,20
800,20
801,7
802,20
803,20
804,20
805,20
806,20
807,20
808,20
809,20
810,20
811,20
812,20
813,20
814,20
815,20
816,20
817,20
818,20
819,20
820,20
821,20
822,20
823,20
824,20
825,20
826,20
827,20
828,20
829,20
830,20
831,20
832,20
833,20
834,20
835,20
836,20
837,20
838,20
839,20
840,20
841,20
842,20
843,20
844,20
845,20
846,20
847,20
848,20
849,20
850,20
851,20
852,20
853,20
854,20
855,20
856,20
857,20
858,20
859,20
860,20
861,20
862,20
863,20
864,20
865,20
866,20
867,20
868,20
869,20
870,20
871,20
872,20
873,20
874,20
875,20
876,20
877,20
878,20
879,20
880,20
881,20
882,20
883,20
884,20
885,5
886,5
887,20
888,20
889,5
890,5
891,20
892,20
893,20
894,5
895,5
896,5
897,5
898,5
899,5
900,5
901,5
902,5
903,5
904,5
905,5
906,5
907,5
908,5
909,5
910,5
911,5
912,5
913,5
914,5
915,5
916,5
917,5
918,5
919,5
920,5
921,5
922,5
923,5
924,5
925,5
926,5
927,5
928,5
929,5
930,5
931,5
932,5
933,5
934,5
935,5
936,5
937,5
938,5
939,5
940,5
941,5
942,5
943,5
944,5
945,5
946,5
947,5
948,5
949,5
950,5
951,5
952,5
953,5
954,5
955,5
956,5
957,5
958,5
959,5
960,5
961,5
962,5
963,5
964,5
965,5
966,5
967,5
968,5
969,5
970,5
971,5
972,5
973,5
974,5
975,5
976,5
977,5
978,5
979,5
980,5
981,5
982,5
983,5
984,5
985,5
986,5
987,5
988,5
989,5
990,5
991,5
992,5
993,5
994,5
995,5
996,5
997,5
998,5
999,5
1000,5
1001,5
1002,5
1003,5
1004,5
1005,5
1006,5
1007,5
1008,5
1009,5
1010,5
1011,5
1012,5
1013,5
1014,5
1015,5
1016,5
1017,5
1018,5
1019,5
1020,5
1021,5
1022,5
1023,5
1024,5
1025,5
1026,5
1027,5
1028,5
1029,5
1030,5
1031,5
1032,5
1033,5
1034,5
1035,5
1036,5
1037,5
1038,5
1039,5
1040,18
1041,18
1042,18
1043,18
1044,18
1045,18
1046,18
1047,18
1048,18
1049,18
1050,18
1051,18
1052,18
1053,18
1054,18
1055,18
1056,18
1057,18
1058,18
1059,18
1060,18
1061,18
1062,18
1063,18
1064,18
1065,18
1066,18
1067,18
1068,18
1069,18
1070,18
1071,18
1072,18
1073,18
1074,18
1075,18
1076,18
1077,18
1078,18
1079,18
1080,18
1081,18
1082,18
1083,18
1084,18
1085,18
1086,18
1087,18
1088,18
1089,18
1090,18
1091,22
1092,22
1093,22
1094,22
1095,22
1096,22
1097,23
1098,23
1099,23
1100,23
1101,23
1102,21
1103,23
1104,23
1105,23
1106,23
1107,23
1108,23
1109,23
1110,23
1111,23
1112,23
1113,22
1114,22
1115,22
1116,23
1117,23
1118,22
1119,22
1120,22
1121,22
1122,22
1123,22
1124,22
1125,22
1126,22
1127,22
1128,22
1129,22
1130,22
1131,22
1132,22
1133,22
1134,22
1135,22
1136,22
1137,22
1138,22
1139,22
1140,22
1141,22
1142,21
1143,22
1144,22
1145,22
1146,22
1147,22
1148,21
1149,22
1150,22
1151,22
1152,22
1153,22
1154,22
1155,22
1156,22
1157,22
1158,22
1159,22
1160,22
1161,21
1162,21
1163,21
1164,21
1165,21
1166,21
1167,21
1168,21
1169,21
1170,21
1171,21
1172,21
1173,21
1174,21
1175,21
1176,21
1177,17
1178,17
1179,17
1180,17
1181,17
1182,17
1183,17
1184,17
1185,17
1186,17
1187,17
1188,17
1189,23
1190,23
1191,23
1192,23
1193,23
1194,23
1195,23
1196,23
1197,23
1198,23
1199,23
1200,23
1201,23
1202,23
1203,23
1204,23
1205,23
1206,23
1207,23
1208,23
1209,23
1210,23
1211,1
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1219,1
1220,1
1221,1
1222,1
1223,1
1224,1
1225,1
1226,1
1227,1
1228,1
1229,1
1230,1
1231,1
1232,1
1233,1
1234,1
1235,1
1236,1
1237,1
1238,1
1239,1
1240,1
1241,1
1242,1
1243,1
1244,1
1245,1
1246,1
1247,25
1248,1
1249,25
1250,25
1251,25
1252,26
1253,25
1254,25
1255,25
1256,25
1257,25
1258,25
1259,25
1260,25
1261,25
1262,25
1263,25
1264,25
1265,25
1266,25
1267,25
1268,25
1269,25
1270,25
1271,25
1272,25
1273,25
1274,25
1275,25
1276,25
1277,25
1278,25
1279,25
1280,25
1281,25
1282,25
1283,25
1284,25
1285,25
1286,25
1287,24
1288,24
1289,24
1290,26
1291,1
1292,1
1293,1
1294,34
1295,34
1296,34
1297,34
1298,34
1299,34
1300,34
1301,34
1302,34
1303,34
1304,34
1305,34
1306,34
1307,34
1308,1
1309,34
1310,34
1311,34
1313,2
1314,2
1315,2
1316,2
1317,2
1318,29
1319,30
1320,30
1321,30
1322,30
1323,30
1324,30
1325,30
1326,30
1327,30
1328,29
1329,30
1330,30
1331,30
1332,30
1333,30
1334,30
1335,30
1336,30
1337,29
1338,29
1339,29
1340,29
1341,29
1342,29
1343,29
1344,29
1345,29
1346,29
1347,29
1348,29
1349,29
1350,29
1351,29
1352,29
1353,29
1354,31
1355,31
1356,31
1357,29
1358,29
1359,29
1360,29
1361,31
1362,31
1363,31
1364,31
1365,31
1366,31
1367,31
1368,31
1369,31
1370,31
1371,31
1372,31
1373,31
1374,31
1375,31
1376,31
1377,31
1378,31
1379,29
1380,29
1381,31
1382,31
1383,31
1384,31
1385,31
1386,31
1387,29
1388,31
1389,31
1390,31
1391,31
1392,31
1393,31
1394,28
1395,28
1396,28
1397,28
1398,28
1399,28
1400,28
1401,28
1402,28
1403,31
1404,32
1405,32
1406,32
1407,32
1408,32
1409,32
1410,32
1411,32
1412,32
1413,32
1414,32
1415,33
1416,33
1417,33
1418,33
1419,33
1420,27
1421,27
1422,27
1423,32
1424,27
1425,27
1426,27
1427,27
1428,27
1429,27
1430,27
1431,27
1432,27
1433,27
1434,33
1435,27
1436,27
1437,27
1438,27
1439,27
1440,27
1441,27
1442,27
1443,27
1444,27
1445,27
1446,27
1447,27
1448,27
1449,27
1450,27
1451,27
1452,27
1453,27
1454,27
