"NAME","C24010_005E","C24010_006E","C24010_007E","C24010_012E","C24010_013E","C24010_014E","C24010_015E","C24010_016E","C24010_020E","C24010_022E","C24010_023E","C24010_024E","C24010_025E","C24010_026E","C24010_028E","C24010_029E","C24010_030E","C24010_034E","C24010_041E","C24010_042E","C24010_043E","C24010_048E","C24010_049E","C24010_050E","C24010_051E","C24010_052E","C24010_056E","C24010_058E","C24010_059E","C24010_060E","C24010_061E","C24010_062E","C24010_064E","C24010_065E","C24010_066E","C24010_070E","B03002_003E","B03002_004E","B03002_006E","B03002_002E","B03002_012E","state","county","tract","block group"
"Block Group 2, Census Tract 4511.02, Alameda County, California",229,56,137,10,13,26,12,16,0,27,13,0,0,16,101,28,25,49,93,76,21,3,11,88,0,51,0,20,21,24,0,37,92,97,0,8,2330,0,362,2873,249,"06","001","451102","2"
"Block Group 1, Census Tract 4511.02, Alameda County, California",40,18,54,3,0,0,22,0,0,0,13,10,0,29,76,0,40,0,53,8,19,2,0,0,20,9,0,0,0,28,0,19,30,35,0,0,937,12,22,976,65,"06","001","451102","1"
"Block Group 1, Census Tract 4512.02, Alameda County, California",139,48,249,0,32,19,16,12,0,0,8,0,0,23,44,68,69,106,98,84,105,28,19,81,11,31,0,0,9,43,0,32,102,122,0,34,1488,0,656,2255,377,"06","001","451202","1"
"Block Group 2, Census Tract 4512.02, Alameda County, California",36,0,13,0,0,46,0,0,0,0,0,14,42,0,36,15,40,50,60,10,13,22,16,24,0,0,0,0,0,37,9,14,10,80,0,0,845,0,18,868,106,"06","001","451202","2"
"Block Group 3, Census Tract 4512.02, Alameda County, California",41,0,36,0,0,0,65,0,0,0,13,0,16,8,0,30,121,6,42,18,20,0,0,28,8,0,0,0,0,20,34,10,47,27,13,0,517,45,76,658,421,"06","001","451202","3"
"Block Group 2, Census Tract 4227, Alameda County, California",33,5,15,0,0,36,2,0,0,0,0,5,4,4,11,36,10,9,6,17,14,2,0,76,0,10,19,29,0,31,1,15,32,43,0,7,700,25,378,1179,199,"06","001","422700","2"
"Block Group 1, Census Tract 4227, Alameda County, California",4,27,26,0,0,57,0,0,0,13,41,7,0,0,40,26,8,0,8,39,16,0,0,48,30,0,0,0,0,30,0,11,0,38,0,0,513,8,185,764,195,"06","001","422700","1"
"Block Group 3, Census Tract 4227, Alameda County, California",23,40,178,0,0,111,18,5,0,0,0,58,7,25,21,26,13,52,47,15,59,0,0,102,27,8,14,4,0,46,0,53,47,155,8,0,1260,105,953,2447,423,"06","001","422700","3"
"Block Group 1, Census Tract 4224, Alameda County, California",33,53,166,0,29,161,29,32,0,13,5,154,0,32,13,36,0,16,24,0,58,17,0,139,0,50,17,0,0,137,0,0,14,70,0,0,1029,0,661,1798,84,"06","001","422400","1"
"Block Group 2, Census Tract 4224, Alameda County, California",0,0,85,0,19,20,0,0,0,0,0,0,0,0,9,0,22,0,3,22,181,0,9,56,0,15,0,0,0,0,0,0,40,0,0,0,299,27,405,783,114,"06","001","422400","2"
"Block Group 3, Census Tract 4224, Alameda County, California",79,14,207,0,35,83,52,18,18,0,0,22,0,0,0,52,18,65,31,11,23,21,17,42,68,17,0,0,0,17,0,0,0,61,0,16,900,43,281,1256,152,"06","001","422400","3"
"Block Group 2, Census Tract 4225, Alameda County, California",11,9,34,0,9,86,0,0,0,0,0,26,0,0,12,14,12,3,23,22,17,0,10,37,8,0,0,8,0,13,0,5,5,38,0,5,390,34,405,964,89,"06","001","422500","2"
"Block Group 3, Census Tract 4225, Alameda County, California",29,0,102,9,8,47,5,5,0,0,0,31,0,12,16,32,12,13,61,13,74,25,0,52,17,13,0,0,0,28,18,71,26,88,0,2,940,59,527,1636,225,"06","001","422500","3"
"Block Group 1, Census Tract 4225, Alameda County, California",82,8,151,10,0,55,28,0,0,0,0,6,0,13,37,25,0,10,44,18,51,0,12,84,27,26,0,0,0,8,0,14,22,36,0,22,783,11,244,1128,94,"06","001","422500","1"
"Block Group 1, Census Tract 4226, Alameda County, California",4,0,27,0,0,19,10,0,0,0,0,10,0,29,17,10,0,0,28,9,49,20,9,94,8,0,0,4,0,31,0,8,35,57,0,0,542,41,586,1230,191,"06","001","422600","1"
"Block Group 2, Census Tract 4231, Alameda County, California",53,11,53,0,9,29,22,8,0,15,0,0,0,7,0,23,0,31,9,8,76,8,9,9,62,27,0,0,0,0,0,0,6,0,0,7,490,111,216,898,59,"06","001","423100","2"
"Block Group 3, Census Tract 4231, Alameda County, California",42,0,39,0,31,37,47,0,0,0,0,21,16,0,26,109,32,47,17,10,8,0,0,75,12,32,9,0,0,26,0,0,13,71,0,14,406,239,145,880,195,"06","001","423100","3"
"Block Group 4, Census Tract 4231, Alameda County, California",58,18,45,0,0,0,38,17,0,0,0,32,0,0,24,0,8,0,23,18,10,8,0,16,23,17,0,0,0,0,0,0,19,19,6,0,426,67,106,665,82,"06","001","423100","4"
"Block Group 1, Census Tract 4231, Alameda County, California",19,5,122,10,9,62,23,0,0,0,0,43,0,0,31,9,8,21,64,18,54,47,17,18,19,0,8,0,0,8,30,49,26,42,0,0,765,213,302,1382,158,"06","001","423100","1"
"Block Group 2, Census Tract 4261, Alameda County, California",66,0,22,0,26,0,0,15,0,0,0,0,0,0,25,0,0,0,23,0,0,0,0,15,0,8,0,0,0,0,0,0,0,0,0,0,429,0,66,495,0,"06","001","426100","2"
"Block Group 5, Census Tract 4261, Alameda County, California",101,0,37,0,0,0,0,32,0,0,0,0,0,0,26,23,28,9,0,34,0,0,24,0,11,33,0,0,0,0,0,0,39,40,0,0,912,28,222,1191,70,"06","001","426100","5"
"Block Group 3, Census Tract 4261, Alameda County, California",54,16,20,2,14,15,15,95,0,0,0,0,0,0,36,0,0,0,15,16,0,16,23,15,0,0,0,0,0,0,0,0,0,0,0,0,725,60,409,1243,66,"06","001","426100","3"
"Block Group 1, Census Tract 4261, Alameda County, California",95,73,108,0,36,18,0,10,0,0,0,0,0,22,78,51,0,0,79,9,55,0,36,43,16,12,0,0,0,0,0,0,0,28,0,0,1203,0,166,1487,54,"06","001","426100","1"
"Block Group 6, Census Tract 4261, Alameda County, California",71,30,18,0,35,0,0,0,0,0,0,0,0,0,32,17,0,0,50,24,21,0,0,16,19,13,0,0,0,0,0,0,0,0,0,0,625,0,182,807,0,"06","001","426100","6"
"Block Group 4, Census Tract 4261, Alameda County, California",89,8,18,0,65,14,12,0,0,0,0,0,0,0,56,16,40,0,28,15,29,19,0,23,24,57,0,0,0,0,0,21,20,23,0,0,785,0,83,913,13,"06","001","426100","4"
"Block Group 5, Census Tract 4273, Alameda County, California",0,0,10,0,8,35,0,12,0,0,0,0,13,11,27,8,0,9,16,0,0,11,8,13,0,0,10,0,0,0,0,24,18,0,0,0,99,82,258,506,93,"06","001","427300","5"
"Block Group 1, Census Tract 4273, Alameda County, California",53,9,66,0,0,21,0,0,0,0,0,9,10,11,11,26,23,18,84,29,21,10,0,69,31,0,0,0,0,0,0,43,58,22,11,35,822,39,261,1159,118,"06","001","427300","1"
"Block Group 3, Census Tract 4273, Alameda County, California",25,36,46,0,0,17,30,0,0,8,0,0,53,17,20,33,36,62,43,14,23,0,0,23,11,0,0,9,0,0,0,23,12,17,0,7,450,110,393,1018,147,"06","001","427300","3"
"Block Group 4, Census Tract 4273, Alameda County, California",25,13,34,0,0,13,10,11,0,0,0,28,7,0,0,12,18,14,13,6,0,0,11,11,0,0,11,0,0,32,0,38,17,38,0,0,243,10,527,805,39,"06","001","427300","4"
"Block Group 2, Census Tract 4273, Alameda County, California",27,70,121,0,0,22,9,28,0,0,0,19,0,0,32,14,41,25,34,54,45,0,21,18,23,40,0,0,0,6,11,0,20,51,0,16,484,103,539,1186,98,"06","001","427300","2"
"Block Group 2, Census Tract 4276, Alameda County, California",9,0,30,23,0,10,10,34,28,13,0,33,41,85,5,42,85,92,41,0,36,45,9,12,9,21,48,0,0,12,0,81,25,126,0,0,489,585,653,1897,460,"06","001","427600","2"
"Block Group 1, Census Tract 4276, Alameda County, California",49,23,68,9,0,0,18,28,16,14,9,0,35,9,80,58,55,165,105,68,17,0,0,44,12,6,0,16,8,48,0,47,68,87,0,16,640,488,1059,2363,252,"06","001","427600","1"
"Block Group 3, Census Tract 4276, Alameda County, California",18,0,11,15,0,12,7,0,0,11,0,0,0,0,6,17,22,13,17,0,0,0,0,41,19,15,28,0,0,0,7,0,8,14,0,0,189,164,172,708,0,"06","001","427600","3"
"Block Group 5, Census Tract 4279, Alameda County, California",121,0,44,0,0,47,30,20,22,0,0,14,22,0,0,8,46,56,79,0,9,0,0,17,32,17,0,0,0,42,0,0,78,38,0,0,560,133,337,1078,152,"06","001","427900","5"
"Block Group 1, Census Tract 4279, Alameda County, California",16,0,21,0,20,17,18,13,0,0,24,12,39,22,56,20,42,16,18,13,12,12,0,20,0,22,0,0,0,17,32,20,26,54,0,0,376,38,461,893,106,"06","001","427900","1"
"Block Group 2, Census Tract 4279, Alameda County, California",77,44,27,20,18,0,16,0,0,0,0,0,0,24,14,44,0,48,53,15,14,15,14,13,17,17,0,0,0,0,0,0,77,46,17,105,733,0,212,1055,139,"06","001","427900","2"
"Block Group 3, Census Tract 4279, Alameda County, California",22,17,21,19,0,0,0,0,0,0,0,21,19,0,42,90,0,30,22,33,82,0,20,17,0,0,0,0,0,22,0,0,69,34,0,0,491,45,76,633,49,"06","001","427900","3"
"Block Group 4, Census Tract 4279, Alameda County, California",0,0,89,0,0,0,13,0,43,0,0,0,0,0,0,0,0,60,14,25,0,0,0,15,0,0,53,0,0,24,0,12,0,77,0,33,272,74,271,674,172,"06","001","427900","4"
"Block Group 3, Census Tract 4283.02, Alameda County, California",95,49,120,37,9,0,89,11,0,16,14,12,0,0,42,46,67,33,108,16,29,0,29,127,17,52,0,0,0,0,0,65,15,115,0,0,1061,82,750,1930,431,"06","001","428302","3"
"Block Group 2, Census Tract 4283.02, Alameda County, California",114,0,149,0,48,51,21,46,0,0,0,18,0,0,33,71,19,50,128,88,31,18,0,14,14,68,0,0,0,15,0,69,88,111,0,25,1218,116,933,2452,90,"06","001","428302","2"
"Block Group 1, Census Tract 4283.02, Alameda County, California",109,100,108,14,51,25,0,10,73,0,20,36,0,0,34,46,43,19,92,138,48,12,21,32,25,32,0,0,0,31,0,44,70,95,0,0,736,104,1466,2495,74,"06","001","428302","1"
"Block Group 2, Census Tract 4286, Alameda County, California",33,15,44,7,0,0,11,10,0,0,0,0,0,0,0,45,0,10,80,0,21,0,0,0,0,22,0,0,0,34,0,14,0,10,0,0,293,53,156,559,73,"06","001","428600","2"
"Block Group 1, Census Tract 4286, Alameda County, California",68,45,150,0,0,18,64,22,0,13,0,0,0,23,18,9,0,33,33,60,31,0,11,57,14,40,18,0,0,12,0,11,12,45,0,0,591,188,625,1472,90,"06","001","428600","1"
"Block Group 3, Census Tract 4286, Alameda County, California",58,0,94,0,0,0,28,18,0,13,0,18,25,0,49,0,13,21,43,18,23,0,0,0,6,47,5,0,0,0,0,9,15,77,0,0,481,103,394,1150,68,"06","001","428600","3"
"Block Group 1, Census Tract 4308, Alameda County, California",16,0,31,0,0,0,0,0,0,0,0,0,0,0,17,0,99,0,0,0,12,50,0,41,0,43,0,0,0,0,15,35,0,0,0,2,306,0,77,420,290,"06","001","430800","1"
"Block Group 2, Census Tract 4308, Alameda County, California",92,16,0,0,0,0,0,0,0,0,0,0,0,0,0,120,24,34,45,7,0,0,0,0,0,23,37,0,0,0,0,14,0,12,0,0,539,27,42,608,237,"06","001","430800","2"
"Block Group 4, Census Tract 4308, Alameda County, California",24,18,8,0,39,13,0,40,0,26,0,0,13,12,17,37,52,164,130,30,0,0,25,0,0,107,10,0,14,15,0,0,162,24,8,0,871,47,327,1324,178,"06","001","430800","4"
"Block Group 3, Census Tract 4308, Alameda County, California",94,0,215,0,0,0,0,0,0,39,9,24,0,0,19,75,128,60,123,0,0,0,0,112,0,67,11,0,0,132,0,0,57,34,0,0,1165,14,707,2099,301,"06","001","430800","3"
"Block Group 2, Census Tract 4336, Alameda County, California",77,11,70,12,0,0,16,22,0,0,0,0,0,14,61,82,0,208,13,0,0,0,0,19,0,11,66,0,0,0,0,37,64,36,0,80,349,339,847,1608,526,"06","001","433600","2"
"Block Group 3, Census Tract 4336, Alameda County, California",97,0,50,0,0,9,11,40,0,0,0,15,19,38,10,37,52,51,10,17,0,0,0,0,22,54,0,0,0,23,14,58,17,112,0,55,467,72,526,1224,137,"06","001","433600","3"
"Block Group 4, Census Tract 4336, Alameda County, California",15,18,52,0,0,14,0,0,0,15,0,0,14,41,12,17,59,68,13,15,5,0,0,0,0,0,22,0,0,26,0,10,3,76,0,13,237,63,679,992,390,"06","001","433600","4"
"Block Group 1, Census Tract 4336, Alameda County, California",12,0,49,0,0,0,33,0,0,0,0,23,0,0,24,65,19,81,0,35,31,0,0,0,0,0,0,0,0,61,0,86,9,22,0,30,161,15,649,873,7,"06","001","433600","1"
"Block Group 2, Census Tract 4374, Alameda County, California",28,5,12,0,0,17,0,4,27,10,0,60,115,57,29,43,110,154,31,21,13,4,7,36,0,42,40,0,0,56,16,40,71,92,0,20,406,34,482,1059,1444,"06","001","437400","2"
"Block Group 1, Census Tract 4374, Alameda County, California",15,17,8,0,19,0,5,11,0,0,0,6,7,5,10,19,60,42,9,23,5,15,0,17,0,64,18,0,0,14,20,17,5,15,0,1,170,55,228,495,336,"06","001","437400","1"
"Block Group 2, Census Tract 4382.01, Alameda County, California",61,0,31,0,0,0,0,0,0,0,0,10,0,0,119,72,77,240,30,12,14,0,0,7,22,11,59,0,0,98,0,41,21,91,5,17,382,30,612,1118,839,"06","001","438201","2"
"Block Group 3, Census Tract 4382.01, Alameda County, California",11,0,10,0,0,0,0,12,0,11,0,41,41,85,24,11,56,89,11,8,18,0,0,13,6,13,0,0,0,20,0,105,35,63,14,35,93,49,365,538,1015,"06","001","438201","3"
"Block Group 1, Census Tract 4382.01, Alameda County, California",45,21,23,0,4,0,0,21,17,26,0,56,7,0,48,5,28,102,30,0,0,9,7,0,0,25,0,12,0,24,28,0,0,16,24,53,0,258,198,571,920,"06","001","438201","1"
"Block Group 3, Census Tract 4055, Alameda County, California",21,11,21,0,0,18,20,0,0,0,0,34,62,7,0,29,12,44,32,0,9,0,0,24,19,0,9,0,0,65,22,16,34,22,0,0,256,69,460,852,77,"06","001","405500","3"
"Block Group 1, Census Tract 4055, Alameda County, California",22,37,0,0,0,44,0,0,0,0,0,95,0,23,24,14,50,92,15,10,0,17,0,11,0,17,13,0,0,36,0,54,22,99,0,16,88,116,780,1019,157,"06","001","405500","1"
"Block Group 4, Census Tract 4055, Alameda County, California",56,27,52,9,0,14,22,8,0,0,0,29,8,0,36,43,0,31,49,28,17,0,11,53,7,25,8,0,0,30,0,5,13,36,0,9,364,185,275,904,124,"06","001","405500","4"
"Block Group 2, Census Tract 4055, Alameda County, California",10,0,14,10,0,46,0,0,0,18,0,39,0,0,6,32,28,78,36,22,36,10,4,16,0,0,15,0,0,20,0,45,12,42,0,28,105,188,536,873,118,"06","001","405500","2"
"Block Group 3, Census Tract 4056, Alameda County, California",51,62,12,8,0,44,65,0,0,0,0,33,31,7,14,21,25,72,16,25,10,10,0,26,0,18,0,0,0,20,11,38,55,45,0,0,369,61,215,752,269,"06","001","405600","3"
"Block Group 1, Census Tract 4056, Alameda County, California",6,5,45,0,11,0,0,0,0,0,15,10,0,5,0,0,18,33,50,27,18,15,0,14,0,13,0,23,0,0,0,11,25,57,0,28,127,132,398,668,106,"06","001","405600","1"
"Block Group 2, Census Tract 4056, Alameda County, California",10,6,22,0,0,145,21,21,0,16,0,20,16,6,67,43,40,48,66,20,17,34,31,21,12,15,0,0,0,12,14,20,0,18,0,12,293,279,262,982,394,"06","001","405600","2"
"Block Group 1, Census Tract 4060, Alameda County, California",39,0,28,28,0,10,46,0,0,0,0,21,0,10,0,19,32,30,55,0,23,10,0,19,12,0,0,0,0,11,0,28,15,33,0,13,409,56,189,693,175,"06","001","406000","1"
"Block Group 2, Census Tract 4060, Alameda County, California",0,0,0,0,0,12,0,8,0,10,0,0,0,0,0,0,40,18,11,0,0,0,0,0,0,0,0,0,0,0,6,54,0,0,0,0,11,19,252,293,84,"06","001","406000","2"
"Block Group 3, Census Tract 4060, Alameda County, California",59,39,22,0,0,0,27,0,0,6,0,48,0,18,43,61,27,18,57,56,9,34,26,8,21,37,11,12,0,18,29,17,95,55,0,46,235,360,936,1674,265,"06","001","406000","3"
"Block Group 4, Census Tract 4061, Alameda County, California",0,0,12,48,0,20,28,0,0,16,0,45,12,0,13,78,246,57,0,9,0,0,0,30,0,0,0,12,0,12,6,39,23,58,0,0,171,278,209,723,1151,"06","001","406100","4"
"Block Group 2, Census Tract 4061, Alameda County, California",0,0,0,0,0,0,30,0,0,0,0,59,0,0,14,14,27,25,4,10,0,0,0,7,0,0,18,0,0,0,11,0,35,12,0,0,19,0,100,156,344,"06","001","406100","2"
"Block Group 1, Census Tract 4061, Alameda County, California",9,5,18,0,0,0,15,0,0,0,0,8,0,0,5,0,112,65,34,22,0,0,12,7,0,0,38,0,0,11,0,34,0,10,7,0,64,164,92,320,732,"06","001","406100","1"
"Block Group 3, Census Tract 4061, Alameda County, California",112,41,22,19,11,19,12,5,8,0,0,0,4,16,13,30,47,72,76,59,19,0,0,17,3,7,0,0,0,41,7,0,0,60,0,41,398,40,221,714,489,"06","001","406100","3"
"Block Group 2, Census Tract 4065, Alameda County, California",9,12,3,0,0,0,0,0,0,25,0,0,9,27,0,53,108,40,29,26,0,0,0,10,0,10,10,23,0,35,19,40,0,20,0,0,90,233,260,619,354,"06","001","406500","2"
"Block Group 3, Census Tract 4065, Alameda County, California",0,0,0,0,0,23,9,0,0,0,0,109,89,0,49,41,258,127,8,16,0,0,0,48,0,0,15,0,0,89,19,74,24,42,0,5,0,329,196,530,1417,"06","001","406500","3"
"Block Group 4, Census Tract 4065, Alameda County, California",33,8,0,0,0,0,0,0,21,0,0,39,0,0,0,45,85,59,8,19,11,32,0,13,0,43,0,0,0,0,50,26,24,28,0,20,124,224,105,551,850,"06","001","406500","4"
"Block Group 1, Census Tract 4065, Alameda County, California",44,8,0,13,13,24,63,16,0,10,0,29,23,6,15,17,66,97,8,0,23,20,8,50,19,16,12,10,0,30,20,16,74,73,0,86,178,365,365,1106,804,"06","001","406500","1"
"Block Group 2, Census Tract 4515.03, Alameda County, California",23,0,47,0,0,0,0,0,0,0,0,0,0,0,41,0,112,20,114,0,0,0,49,0,0,0,0,0,0,0,44,25,0,20,0,22,645,0,0,714,575,"06","001","451503","2"
"Block Group 3, Census Tract 4515.03, Alameda County, California",0,0,22,0,0,0,0,0,0,0,23,0,0,0,0,0,137,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,74,0,0,536,0,23,579,0,"06","001","451503","3"
"Block Group 4, Census Tract 4515.03, Alameda County, California",6,0,63,0,0,0,0,0,0,27,0,0,47,0,29,58,58,38,0,0,0,0,0,106,14,7,0,0,0,0,43,30,0,29,0,0,375,39,63,496,572,"06","001","451503","4"
"Block Group 1, Census Tract 4515.03, Alameda County, California",60,115,136,0,0,42,18,42,0,65,0,66,9,14,116,39,85,60,140,91,87,31,21,81,33,16,0,0,0,62,37,44,15,319,0,27,2065,25,602,2896,325,"06","001","451503","1"
"Block Group 1, Census Tract 4237, Alameda County, California",36,20,52,0,0,48,37,27,0,0,0,39,0,17,26,12,0,0,91,29,67,0,0,40,28,16,0,0,0,32,0,35,50,52,0,27,1133,74,497,1755,166,"06","001","423700","1"
"Block Group 2, Census Tract 4237, Alameda County, California",112,0,17,0,0,53,30,18,0,0,0,0,0,0,0,7,0,0,60,30,17,0,32,63,7,10,0,0,0,0,0,0,0,9,0,0,941,0,112,1053,87,"06","001","423700","2"
"Block Group 3, Census Tract 4237, Alameda County, California",22,0,19,1,0,32,34,0,0,0,0,0,0,0,83,0,0,0,43,11,69,32,0,83,1,15,29,0,0,82,0,21,26,69,0,28,735,46,283,1257,61,"06","001","423700","3"
"Block Group 1, Census Tract 4238, Alameda County, California",18,43,44,0,15,0,0,34,0,0,0,0,9,0,22,13,0,0,8,0,19,7,13,78,10,0,0,0,0,0,0,9,7,51,0,0,459,35,84,592,60,"06","001","423800","1"
"Block Group 2, Census Tract 4238, Alameda County, California",37,19,49,10,55,28,7,16,0,0,0,22,0,11,31,21,16,0,20,34,19,9,17,13,18,23,0,0,0,5,0,0,0,24,0,0,798,0,66,959,150,"06","001","423800","2"
"Block Group 3, Census Tract 4238, Alameda County, California",73,29,43,0,13,38,8,30,0,0,0,0,0,0,48,25,0,0,40,56,48,0,5,8,0,21,0,0,0,0,0,0,22,17,0,0,980,0,108,1088,61,"06","001","423800","3"
"Block Group 2, Census Tract 4262, Alameda County, California",148,31,80,0,63,0,61,44,0,0,0,5,9,0,32,13,5,18,144,46,21,0,39,45,48,82,8,0,0,13,0,50,8,35,0,0,1356,16,376,1981,104,"06","001","426200","2"
"Block Group 1, Census Tract 4262, Alameda County, California",71,26,24,0,74,22,41,59,0,0,0,12,0,10,117,11,15,11,57,34,39,0,5,39,19,77,0,11,0,10,0,16,35,20,0,0,1004,16,427,1524,107,"06","001","426200","1"
"Block Group 3, Census Tract 4262, Alameda County, California",117,58,21,0,27,15,11,25,0,0,0,0,10,0,30,5,9,8,14,46,30,15,12,53,12,22,0,0,0,0,0,0,9,57,0,18,898,65,75,1133,108,"06","001","426200","3"
"Block Group 1, Census Tract 4280, Alameda County, California",31,0,17,0,0,7,0,0,0,20,0,28,0,17,26,52,8,54,10,9,0,0,0,15,0,0,0,0,0,14,0,0,0,8,0,0,118,89,190,462,208,"06","001","428000","1"
"Block Group 2, Census Tract 4280, Alameda County, California",39,30,48,0,11,18,43,47,0,0,0,31,20,6,111,19,49,92,96,27,98,25,14,31,23,80,13,14,0,40,14,49,32,46,0,0,887,198,648,1864,217,"06","001","428000","2"
"Block Group 2, Census Tract 4303, Alameda County, California",52,12,78,7,0,16,13,0,0,19,0,10,9,9,17,14,13,43,20,50,48,23,0,35,0,25,0,0,0,0,8,8,0,84,0,0,592,278,298,1255,43,"06","001","430300","2"
"Block Group 3, Census Tract 4303, Alameda County, California",38,18,28,0,0,7,11,0,0,11,0,15,0,22,14,0,53,13,38,31,0,0,0,15,0,30,0,0,0,15,30,12,22,47,0,26,638,0,190,833,155,"06","001","430300","3"
"Block Group 1, Census Tract 4303, Alameda County, California",109,25,31,0,13,22,25,5,0,0,6,27,10,0,17,39,54,34,34,0,20,0,0,51,43,30,0,0,0,0,10,7,28,27,0,12,799,4,314,1180,239,"06","001","430300","1"
"Block Group 2, Census Tract 4312, Alameda County, California",146,10,65,66,0,52,48,0,0,70,0,0,0,0,44,165,81,137,1,192,34,67,0,111,19,65,16,0,22,0,0,117,5,104,0,0,912,729,425,2195,378,"06","001","431200","2"
"Block Group 1, Census Tract 4312, Alameda County, California",0,0,17,0,0,0,0,0,0,0,0,0,0,0,50,33,21,10,47,17,26,0,0,0,0,0,0,0,0,0,0,25,20,74,0,0,620,39,169,828,59,"06","001","431200","1"
"Block Group 3, Census Tract 4312, Alameda County, California",58,0,66,30,8,32,0,0,0,0,0,26,43,0,249,77,55,87,42,31,27,62,0,44,59,175,0,0,0,0,0,19,5,135,0,48,1375,72,333,1855,503,"06","001","431200","3"
"Block Group 3, Census Tract 4321, Alameda County, California",79,8,31,10,6,8,39,14,0,0,0,0,0,0,34,0,45,38,9,17,20,0,13,45,39,11,0,0,0,12,0,7,22,48,0,0,584,63,125,847,77,"06","001","432100","3"
"Block Group 1, Census Tract 4321, Alameda County, California",93,36,58,0,0,25,27,29,0,49,0,0,10,23,25,58,66,13,69,29,30,13,0,10,29,51,16,0,0,0,0,10,38,97,0,0,612,104,164,1016,506,"06","001","432100","1"
"Block Group 2, Census Tract 4321, Alameda County, California",31,31,44,26,14,0,31,0,0,0,0,59,15,0,23,33,47,21,84,25,26,37,0,29,9,0,58,0,0,46,9,27,23,40,0,0,393,313,432,1195,151,"06","001","432100","2"
"Block Group 1, Census Tract 4323, Alameda County, California",0,55,37,11,0,0,8,8,0,0,9,0,0,14,5,0,70,227,0,8,33,0,58,0,13,55,0,0,0,0,16,42,78,64,21,8,352,70,193,781,738,"06","001","432300","1"
