naicssix,DESC_,steelhead,naics2,remi70,US2detailed,sixcat
115112,"SOIL PREPARATION, PLANTING AND CULTIVATING",ag,11,2,agnat,AGREMPN
115113,"CROP HARVESTING, PRIMARILY BY MACHINE",ag,11,2,agnat,AGREMPN
115114,POSTHARVEST CROP ACTIVITIES (EXCEPT COTTON GINNING),ag,11,2,agnat,AGREMPN
115115,FARM LABOR CONTRACTORS AND CREW LEADERS,ag,11,2,agnat,AGREMPN
115116,FARM MANAGEMENT SERVICES,ag,11,2,agnat,AGREMPN
115210,SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION,ag,11,2,agnat,AGREMPN
115310,SUPPORT ACTIVITIES FOR FORESTRY,ag,11,2,agnat,AGREMPN
211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,natres,21,3,agnat,AGREMPN
211112,NATURAL GAS LIQUID EXTRACTION,natres,21,3,agnat,AGREMPN
211120,CRUDE PETROLEUM EXTRACTION ,natres,21,3,agnat,AGREMPN
212111,BITUMINOUS COAL AND LIGNITE SURFACE MINING,natres,21,4,agnat,AGREMPN
212112,BITUMINOUS COAL UNDERGROUND MINING,natres,21,4,agnat,AGREMPN
212113,ANTHRACITE MINING,natres,21,4,agnat,AGREMPN
212210,IRON ORE MINING,natres,21,4,agnat,AGREMPN
212221,GOLD ORE MINING,natres,21,4,agnat,AGREMPN
212222,SILVER ORE MINING,natres,21,4,agnat,AGREMPN
212231,LEAD ORE AND ZINC ORE MINING,natres,21,4,agnat,AGREMPN
212234,COPPER ORE AND NICKEL ORE MINING,natres,21,4,agnat,AGREMPN
212291,URANIUM-RADIUM-VANADIUM ORE MINING,natres,21,4,agnat,AGREMPN
212299,OTHER METAL ORE MINING,natres,21,4,agnat,AGREMPN
212311,DIMENSION STONE MINING AND QUARRY,natres,21,4,agnat,AGREMPN
212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,natres,21,4,agnat,AGREMPN
212313,CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,natres,21,4,agnat,AGREMPN
212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,natres,21,4,agnat,AGREMPN
212321,CONSTRUCTION SAND AND GRAVEL MINING,natres,21,4,agnat,AGREMPN
212322,INDUSTRIAL SAND MINING,natres,21,4,agnat,AGREMPN
212324,KAOLIN AND BALL CLAY MINING,natres,21,4,agnat,AGREMPN
212325,CLAY AND CERAMIC AND REFRACTORY MINERALS MINING,natres,21,4,agnat,AGREMPN
212391,"POTASH, SODA, AND BORATE MINERAL MINING",natres,21,4,agnat,AGREMPN
212392,PHOSPHATE ROCK MINING,natres,21,4,agnat,AGREMPN
212393,OTHER CHEMICAL AND FERTILIZER MINERAL MINING,natres,21,4,agnat,AGREMPN
212399,ALL OTHER NON-METALLIC MINERAL MINING,natres,21,4,agnat,AGREMPN
213111,DRILLING OIL AND GAS WELLS,natres,21,5,agnat,AGREMPN
213112,SUPPORT ACTIVITIES FOR OIL AND GAS FIELD OPERATIONS,natres,21,5,agnat,AGREMPN
213113,SUPPORT ACTIVITIES FOR COAL MINING,natres,21,5,agnat,AGREMPN
213114,SUPPORT ACTIVITIES FOR METAL MINING,natres,21,5,agnat,AGREMPN
213115,"SUPPORT ACTIVITIES FOR NON-METALLIC MINERALS, (EXCEPT FUELS)",natres,21,5,agnat,AGREMPN
221111,HYDRO ELECTRIC POWER GENERATION,util,22,6,util,MWTEMPN
221112,FOSSIL FUEL ELECTRIC POWER GENERATION,util,22,6,util,MWTEMPN
221113,NUCLEAR ELECTRIC POWER GENERATION,util,22,6,util,MWTEMPN
221115,"ELECTRIC POWER GENERATION, WIND",util,22,6,util,MWTEMPN
221118,OTHER ELECTRIC POWER GENERATION,util,22,6,util,MWTEMPN
221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,util,22,6,util,MWTEMPN
221122,ELECTRIC POWER DISTRIBUTION,util,22,6,util,MWTEMPN
221210,NATURAL GAS DISTRIBUTION,util,22,6,util,MWTEMPN
221310,WATER SUPPLY AND IRRIGATION SYSTEMS,util,22,6,util,MWTEMPN
221320,SEWAGE TREATMENT FACILITIES,util,22,6,util,MWTEMPN
221330,STEAM AND AIR-CONDITIONING SUPPLY,util,22,6,util,MWTEMPN
236115,NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS),constr,23,7,constr,OTHEMPN
236116,NEW MULTIFAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS),constr,23,7,constr,OTHEMPN
236117,NEW HOUSING FOR-SALE BUILDERS,constr,23,7,constr,OTHEMPN
236118,RESIDENTIAL REMODELERS,constr,23,7,constr,OTHEMPN
236210,INDUSTRIAL BUILDING CONSTRUCTION,constr,23,7,constr,OTHEMPN
236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,constr,23,7,constr,OTHEMPN
237110,WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION,constr,23,7,constr,OTHEMPN
237120,OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION,constr,23,7,constr,OTHEMPN
237130,POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION,constr,23,7,constr,OTHEMPN
237210,LAND SUBDIVISION,constr,23,7,constr,OTHEMPN
237310,"HIGHWAY, STREET AND BRIDGE CONSTRUCTION",constr,23,7,constr,OTHEMPN
237990,OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION,constr,23,7,constr,OTHEMPN
238110,POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS,constr,23,7,constr,OTHEMPN
238120,STRUCTURAL STEEL AND PRECAST CONCRETE CONTRACTORS,constr,23,7,constr,OTHEMPN
238130,FRAMING CONTRACTORS,constr,23,7,constr,OTHEMPN
238140,MASONRY CONTRACTORS,constr,23,7,constr,OTHEMPN
238150,GLASS AND GLAZING CONTRACTORS,constr,23,7,constr,OTHEMPN
238160,ROOFING CONTRACTORS,constr,23,7,constr,OTHEMPN
238170,SIDING CONTRACTORS,constr,23,7,constr,OTHEMPN
238190,"OTHER FOUNDATION, STRUCTURE, AND BUILDING EXTERIOR CONTRACTORS",constr,23,7,constr,OTHEMPN
238210,ELECTRICAL CONTRACTORS,constr,23,7,constr,OTHEMPN
238220,"PLUMBING, HEATING AND AIR-CONDITIONING CONTRACTORS",constr,23,7,constr,OTHEMPN
238290,OTHER BUILDING EQUIPMENT CONTRACTORS,constr,23,7,constr,OTHEMPN
238310,DRYWALL AND INSULATION CONTRACTORS,constr,23,7,constr,OTHEMPN
238320,PAINTING AND WALL COVERING CONTRACTORS,constr,23,7,constr,OTHEMPN
238330,FLOORING CONTRACTORS,constr,23,7,constr,OTHEMPN
238340,TILE AND TERRAZZO AND TILE CONTRACTORS,constr,23,7,constr,OTHEMPN
238350,FINISH CARPENTRY CONTACTORS,constr,23,7,constr,OTHEMPN
238390,OTHER BUILDING FINISHING CONTRACTORS,constr,23,7,constr,OTHEMPN
238910,SITE PREPARATION CONTRACTORS,constr,23,7,constr,OTHEMPN
238990,ALL OTHER SPECIALTY TRADE CONTRACTORS,constr,23,7,constr,OTHEMPN
311111,DOG AND CAT FOOD MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311119,OTHER ANIMAL FOOD MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311211,FLOUR MILLING,man_lgt,3133,19,man_lgt,MWTEMPN
311212,RICE MILLING,man_lgt,3133,19,man_lgt,MWTEMPN
311213,MALT MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311221,WET CORN MILLING,man_lgt,3133,19,man_lgt,MWTEMPN
311224,SOYBEAN AND OTHER OILSEED PROCESSING,man_lgt,3133,19,man_lgt,MWTEMPN
311225,FATS AND OILS REFINING AND BLENDING,man_lgt,3133,19,man_lgt,MWTEMPN
311230,BREAKFAST CEREAL MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311313,BEET SUGAR MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311314,CANE SUGAR MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311340,NONCHOCOLATE CONFECTIONERY MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311351,CHOCOLATE AND CONFECTIONERY MANUFACTURING FROM CACAO BEANS,man_lgt,3133,19,man_lgt,MWTEMPN
311352,CONFECTIONERY MANUFACTURING FROM PURCHASED CHOCOLATE,man_lgt,3133,19,man_lgt,MWTEMPN
311411,"FROZEN FRUIT, JUICE, AND VEGETABLE PROCESSING",man_lgt,3133,19,man_lgt,MWTEMPN
311412,FROZEN SPECIALTY FOOD MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311421,FRUIT AND VEGETABLE CANNING,man_lgt,3133,19,man_lgt,MWTEMPN
311422,SPECIALTY CANNING,man_lgt,3133,19,man_lgt,MWTEMPN
311423,DRIED AND DEHYDRATED FOOD MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311511,FLUID MILK MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311512,CREAMERY BUTTER MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311513,CHEESE MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311514,"DRY, CONDENSED, AND EVAPORATED DAIRY PRODUCT MANUFACTURING",man_lgt,3133,19,man_lgt,MWTEMPN
311520,ICE CREAM AND FROZEN DESSERT MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311611,ANIMAL (EXCEPT POULTRY) SLAUGHTERING,man_lgt,3133,19,man_lgt,MWTEMPN
311612,MEAT PROCESSED FROM CARCASSES,man_lgt,3133,19,man_lgt,MWTEMPN
311613,RENDERING AND MEAT BYPRODUCT PROCESSING,man_lgt,3133,19,man_lgt,MWTEMPN
311615,POULTRY PROCESSING,man_lgt,3133,19,man_lgt,MWTEMPN
311710,SEAFOOD PRODUCT PREPARATION AND PACKAGING,man_lgt,3133,19,man_lgt,MWTEMPN
311811,RETAIL BAKERIES,man_lgt,3133,19,man_lgt,MWTEMPN
311812,COMMERCIAL BAKERIES,man_lgt,3133,19,man_lgt,MWTEMPN
311813,FROZEN BAKERY PRODUCT MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311821,COOKIE AND CRACKER MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311824,"DRY PASTA, DOUGH, AND FLOUR MIXES MANUFACTURING FROM PURCHASED FLOUR",man_lgt,3133,19,man_lgt,MWTEMPN
311830,TORTILLA MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311911,ROASTED NUTS AND PEANUT BUTTER MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311919,OTHER SNACK FOOD MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311920,COFFEE AND TEA MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311930,FLAVORING SYRUP AND CONCENTRATE MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311941,"MAYONNAISE, DRESSING, AND OTHER PREPARED SAUCE MANUFACTURING",man_lgt,3133,19,man_lgt,MWTEMPN
311942,SPICE AND EXTRACT MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311991,PERISHABLE PREPARED FOOD MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
311999,ALL OTHER MISCELLANEOUS FOOD MANUFACTURING,man_lgt,3133,19,man_lgt,MWTEMPN
312111,SOFT DRINK MANUFACTURING,man_lgt,3133,20,man_lgt,MWTEMPN
312112,BOTTLED WATER MANUFACTURING,man_lgt,3133,20,man_lgt,MWTEMPN
312113,ICE MANUFACTURING,man_lgt,3133,20,man_lgt,MWTEMPN
312120,BREWERIES,man_lgt,3133,20,man_lgt,MWTEMPN
312130,WINERIES,man_lgt,3133,20,man_lgt,MWTEMPN
312140,DISTILLERIES,man_lgt,3133,20,man_lgt,MWTEMPN
312230,TOBACCO MANUFACTURING,man_lgt,3133,20,man_lgt,MWTEMPN
313110,"FIBER, YARN, AND THREAD MILLS",man_lgt,3133,21,man_lgt,MWTEMPN
313210,BROADWOVEN FABRIC MILLS,man_lgt,3133,21,man_lgt,MWTEMPN
313220,NARROW FABRIC MILLS AND SCHIFFLI MACHINE EMBROIDERY,man_lgt,3133,21,man_lgt,MWTEMPN
313230,NONWOVEN FABRIC MILLS,man_lgt,3133,21,man_lgt,MWTEMPN
313240,KNIT FABRIC MILLS,man_lgt,3133,21,man_lgt,MWTEMPN
313310,TEXTILE AND FABRIC FINISHING MILLS,man_lgt,3133,21,man_lgt,MWTEMPN
313320,FABRIC COATING MILLS,man_lgt,3133,21,man_lgt,MWTEMPN
314110,CARPET AND RUG MILLS,man_lgt,3133,22,man_lgt,MWTEMPN
314120,CURTAIN AND LINEN MILLS,man_lgt,3133,22,man_lgt,MWTEMPN
314910,TEXTILE BAG AND CANVAS MILLS,man_lgt,3133,22,man_lgt,MWTEMPN
314994,"ROPE, CORDAGE, TWINE, TIRE CORD, AND TIRE FABRIC MILLS",man_lgt,3133,22,man_lgt,MWTEMPN
314999,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,man_lgt,3133,22,man_lgt,MWTEMPN
315110,HOSIERY AND SOCK MILLS,man_lgt,3133,23,man_lgt,MWTEMPN
315190,OTHER APPAREL KNITTING MILLS,man_lgt,3133,23,man_lgt,MWTEMPN
315210,CUT AND SEW APPAREL CONTRACTORS,man_lgt,3133,23,man_lgt,MWTEMPN
315220,MEN'S AND BOYS' CUT AND SEW APPAREL MANUFACTURING,man_lgt,3133,23,man_lgt,MWTEMPN
315240,"WOMEN'S, GIRLS', AND INFANTS' CUT AND SEW APPAREL MANUFACTURING",man_lgt,3133,23,man_lgt,MWTEMPN
315280,OTHER CUT AND SEW APPAREL MANUFACTURING,man_lgt,3133,23,man_lgt,MWTEMPN
315990,APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,man_lgt,3133,23,man_lgt,MWTEMPN
316110,LEATHER AND HIDE TANNING AND FINISHING,man_lgt,3133,24,man_lgt,MWTEMPN
316210,FOOTWEAR MANUFACTURING,man_lgt,3133,24,man_lgt,MWTEMPN
316992,WOMEN'S HANDBAG AND PURSE MANUFACTURING,man_lgt,3133,24,man_lgt,MWTEMPN
316998,ALL OTHER LEATHER GOOD AND ALLIED PRODUCT MANUFACTURING,man_lgt,3133,24,man_lgt,MWTEMPN
321113,SAWMILLS,man_lgt,3133,8,man_hvy,MWTEMPN
321114,WOOD PRESERVATION,man_lgt,3133,8,man_hvy,MWTEMPN
321211,HARDWOOD VENEER AND PLYWOOD MANUFACTURING,man_lgt,3133,8,man_hvy,MWTEMPN
321212,SOFTWOOD VENEER AND PLYWOOD MANUFACTURING,man_lgt,3133,8,man_hvy,MWTEMPN
321213,ENGINEERED WOOD MEMBER (EXCEPT TRUSS) MANUFACTURING,man_lgt,3133,8,man_hvy,MWTEMPN
321214,TRUSS MANUFACTURING,man_lgt,3133,8,man_hvy,MWTEMPN
321219,RECONSTITUTED WOOD PRODUCT MANUFACTURING,man_lgt,3133,8,man_hvy,MWTEMPN
321911,WOOD WINDOW AND DOOR MANUFACTURING,man_lgt,3133,8,man_hvy,MWTEMPN
321912,"CUT STOCK, RESAWING LUMBER, AND PLANING",man_lgt,3133,8,man_hvy,MWTEMPN
321918,OTHER MILLWORK (INCLUDING FLOORING),man_lgt,3133,8,man_hvy,MWTEMPN
321920,WOOD CONTAINER AND PALLET MANUFACTURING,man_lgt,3133,8,man_hvy,MWTEMPN
321991,MANUFACTURED HOME (MOBILE HOME)  MANUFACTURING,man_lgt,3133,8,man_hvy,MWTEMPN
321992,PREFABRICATED WOOD BUILDING MANUFACTURING,man_lgt,3133,8,man_hvy,MWTEMPN
321999,ALL OTHER MISCELLANEOUS WOOD PRODUCT MANUFACTURING,man_lgt,3133,8,man_hvy,MWTEMPN
322110,PULP MILLS,man_hvy,3133,25,man_hvy,MWTEMPN
322121,PAPER (EXCEPT NEWSPRINT) MILLS,man_hvy,3133,25,man_hvy,MWTEMPN
322122,NEWSPRINT MILLS,man_hvy,3133,25,man_hvy,MWTEMPN
322130,PAPERBOARD MILLS,man_hvy,3133,25,man_hvy,MWTEMPN
322211,CORRUGATED AND SOLID FIBER BOX MANUFACTURING,man_lgt,3133,25,man_hvy,MWTEMPN
322212,FOLDING PAPERBOARD BOX MANUFACTURING,man_lgt,3133,25,man_hvy,MWTEMPN
322219,OTHER PAPERBOARD CONTAINER MANUFACTURING,man_lgt,3133,25,man_hvy,MWTEMPN
322220,PAPER BAG AND COATED AND TREATED PAPER MANUFACTURING,man_lgt,3133,25,man_hvy,MWTEMPN
322230,STATIONERY PRODUCT MANUFACTURING,man_lgt,3133,25,man_hvy,MWTEMPN
322291,SANITARY PAPER PRODUCT MANUFACTURING,man_lgt,3133,25,man_hvy,MWTEMPN
322299,ALL OTHER CONVERTED PAPER PRODUCT MANUFACTURING,man_lgt,3133,25,man_hvy,MWTEMPN
323111,COMMERCIAL PRINTING (EXCEPT SCREEN AND BOOKS),man_lgt,3133,26,man_hvy,MWTEMPN
323113,COMMERCIAL SCREEN PRINTING,man_lgt,3133,26,man_hvy,MWTEMPN
323117,BOOK PRINTING,man_lgt,3133,26,man_hvy,MWTEMPN
323120,SUPPORT ACTIVITIES FOR PRINTING,man_lgt,3133,26,man_hvy,MWTEMPN
324110,PETROLEUM REFINERIES,man_lgt,3133,27,man_hvy,MWTEMPN
324121,ASPHALT PAVING MIXTURE AND BLOCK MANUFACTURING,man_lgt,3133,27,man_hvy,MWTEMPN
324122,ASPHALT SHINGLE AND COATING MATERIALS MANUFACTURING,man_lgt,3133,27,man_hvy,MWTEMPN
324191,PETROLEUM LUBRICATING OIL AND GREASE MANUFACTURING,man_lgt,3133,27,man_hvy,MWTEMPN
324199,ALL OTHER PETROLEUM AND COAL PRODUCTS MANUFACTURING,man_lgt,3133,27,man_hvy,MWTEMPN
325110,PETROCHEMICAL MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325120,INDUSTRIAL GAS MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325130,SYNTHETIC DYE AND PIGMENT MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325180,ALL OTHER BASIC INORGANIC CHEMICAL MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325193,ETHYL ALCOHOL MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325194,"CYCLIC CRUDE, INTERMEDIATE, AND GUM AND WOOD CHEMICAL MANUFACTURING",man_lgt,3133,28,man_hvy,MWTEMPN
325199,ALL OTHER BASIC ORGANIC CHEMICAL MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325211,PLASTICS MATERIAL AND RESIN MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325212,SYNTHETIC RUBBER MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325220,ARTIFICIAL AND SYNTHETIC FIBERS AND FILAMENTS MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325311,NITROGENOUS FERTILIZER MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325312,PHOSPHATIC FERTILIZER MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325314,FERTILIZER (MIXING ONLY) MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325320,PESTICIDE AND OTHER AGRICULTURAL CHEMICAL MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325411,MEDICINAL AND BOTANICAL MANUFACTURING,man_bio,3133,28,man_tech,MWTEMPN
325412,PHARMACEUTICAL PREPARATION MANUFACTURING,man_bio,3133,28,man_tech,MWTEMPN
325413,IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING,man_bio,3133,28,man_tech,MWTEMPN
325414,BIOLOGICAL PRODUCT (EXCEPT DIAGNOSTIC) MANUFACTURING,man_bio,3133,28,man_tech,MWTEMPN
325510,PAINT AND COATING MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325520,ADHESIVE MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325611,SOAP AND OTHER DETERGENT MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325612,POLISH AND OTHER SANITATION GOOD MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325613,SURFACE ACTIVE AGENT MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325620,TOILET PREPARATION MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325910,PRINTING INK MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325920,EXPLOSIVES MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
325991,CUSTOM COMPOUNDING OF PURCHASED RESIN,man_lgt,3133,28,man_hvy,MWTEMPN
325992,"PHOTOGRAPHIC FILM, PAPER, PLATE AND CHEMICAL MANUFACTURING",man_lgt,3133,28,man_hvy,MWTEMPN
325998,ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING,man_lgt,3133,28,man_hvy,MWTEMPN
326111,UNSUPPORTED PLASTICS BAG MANUFACTURING,man_lgt,3133,29,man_hvy,MWTEMPN
326112,UNSUPPORTED PLASTICS PACKAGING FILM AND SHEET MANUFACTURING,man_lgt,3133,29,man_hvy,MWTEMPN
326113,UNSUPPORTED PLASTICS FILM AND SHEET (EXCEPT PACKAGING) MANUFACTURING,man_lgt,3133,29,man_hvy,MWTEMPN
326121,UNSUPPORTED PLASTICS PROFILE SHAPE MANUFACTURING,man_lgt,3133,29,man_hvy,MWTEMPN
326122,PLASTICS PIPE AND  PIPE FITTING MANUFACTURING,man_lgt,3133,29,man_hvy,MWTEMPN
326130,"LAMINATED PLASTICS PLATE, SHEET, AND SHAPE MANUFACTURING",man_lgt,3133,29,man_hvy,MWTEMPN
326140,POLYSTYRENE FOAM PRODUCT MANUFACTURING,man_lgt,3133,29,man_hvy,MWTEMPN
326150,URETHANE AND OTHER FOAM PRODUCT (EXCEPT POLYSTYRENE) MANUFACTURING,man_lgt,3133,29,man_hvy,MWTEMPN
326160,PLASTICS BOTTLE MANUFACTURING,man_lgt,3133,29,man_hvy,MWTEMPN
326191,PLASTICS PLUMBING FIXTURES MANUFACTURING,man_lgt,3133,29,man_hvy,MWTEMPN
326199,ALL OTHER PLASTICS PRODUCT MANUFACTURING,man_lgt,3133,29,man_hvy,MWTEMPN
326211,TIRE MANUFACTURING (EXCEPT RETREADING),man_lgt,3133,29,man_hvy,MWTEMPN
326212,TIRE RETREADING,man_lgt,3133,29,man_hvy,MWTEMPN
326220,RUBBER AND PLASTICS HOSES AND BELTING MANUFACTURING,man_lgt,3133,29,man_hvy,MWTEMPN
326291,RUBBER PRODUCT MANUFACTURING FOR MECHANICAL USE,man_lgt,3133,29,man_hvy,MWTEMPN
326299,ALL OTHER RUBBER PRODUCT MANUFACTURING,man_lgt,3133,29,man_hvy,MWTEMPN
327110,"POTTERY, CERAMICS, AND PLUMBING FIXTURE MANUFACTURING",man_lgt,3133,9,man_hvy,MWTEMPN
327120,CLAY BUILDING MATERIAL AND REFRACTORIES MANUFACTURING,man_lgt,3133,9,man_hvy,MWTEMPN
327211,FLAT GLASS MANUFACTURING,man_lgt,3133,9,man_hvy,MWTEMPN
327212,OTHER PRESSED AND BLOWN GLASS AND GLASSWARE MANUFACTURING,man_lgt,3133,9,man_hvy,MWTEMPN
327213,GLASS CONTAINER MANUFACTURING,man_lgt,3133,9,man_hvy,MWTEMPN
