model_name,target,term,coefficient,std_error,t_value,p_value,coeff_mod
TM-1.7 - Heavy Truck - Non-Freight - Attraction,HT_NF_CA_OFF_attraction + HT_NF_CA_AM_attraction + HT_NF_CA_MID_attraction + HT_NF_CA_PM_attraction,HEREMPN * CIACRE / 1_000_000,3.321893063,0.861290353,3.856879452,0.000114844,3.32189
TM-1.7 - Medium Truck - Freight - Production,"MT1_FR_CA_OFF_production +  MT1_FR_CA_AM_production +  MT1_FR_CA_MID_production +  MT1_FR_CA_PM_production + MT1_FR_EXT_OFF_production + MT1_FR_EXT_AM_production + MT1_FR_EXT_MID_production + MT1_FR_EXT_PM_production + MT2_FR_CA_OFF_production + MT2_FR_CA_AM_production + MT2_FR_CA_MID_production + MT2_FR_CA_PM_production + MT2_FR_EXT_OFF_production +  MT2_FR_EXT_AM_production + MT2_FR_EXT_MID_production + MT2_FR_EXT_PM_production
",MWTEMPN * AGREMPN / 1_000_000,86.63900132,188.5917539,0.459399733,0.64594714,86.639
TM-1.7 - Small Truck - Freight - Production,"LT_FR_CA_OFF_production +  LT_FR_CA_AM_production + LT_FR_CA_MID_production + LT_FR_CA_PM_production 
",OTHEMPN,-0.000242728,0.000382639,-0.634352324,0.525850916,-0.00024
TM-1.7 - Medium Truck - Freight - Attraction,"MT1_FR_CA_OFF_attraction +  MT1_FR_CA_AM_attraction +  MT1_FR_CA_MID_attraction +  MT1_FR_CA_PM_attraction + MT1_FR_EXT_OFF_attraction + MT1_FR_EXT_AM_attraction + MT1_FR_EXT_MID_attraction + MT1_FR_EXT_PM_attraction + MT2_FR_CA_OFF_attraction + MT2_FR_CA_AM_attraction + MT2_FR_CA_MID_attraction + MT2_FR_CA_PM_attraction + MT2_FR_EXT_OFF_attraction +  MT2_FR_EXT_AM_attraction + MT2_FR_EXT_MID_attraction + MT2_FR_EXT_PM_attraction
",HEREMPN * CIACRE / 1_000_000,4.320079058,2.084648069,2.072330156,0.038234662,4.32008
TM-1.7 - Small Truck - Freight - Production,"LT_FR_CA_OFF_production +  LT_FR_CA_AM_production + LT_FR_CA_MID_production + LT_FR_CA_PM_production 
",RETEMPN,-4.41E-05,0.002008675,-0.021964989,0.982475884,-0.00004
TM-1.7 - Medium Truck - Non-Freight - Production,"MT1_NF_CA_OFF_production +  MT1_NF_CA_AM_production +  MT1_NF_CA_MID_production +  MT1_NF_CA_PM_production +  MT2_NF_CA_OFF_production +  MT2_NF_CA_AM_production +  MT2_NF_CA_MID_production +  MT2_NF_CA_PM_production
",RETEMPN / TOTEMP,19.03364668,7.805331946,2.438544166,0.014746557,19.03365
TM-1.7 - Small Truck - Non-Freight - Production,LT_NF_CA_OFF_production + LT_NF_CA_AM_production + LT_NF_CA_MID_production + LT_NF_CA_PM_production,HEREMPN / TOTEMP,30.78135187,11.88313713,2.590338858,0.00958815,30.78135
TM-1.7 - Small Truck - Freight - Production,"LT_FR_CA_OFF_production +  LT_FR_CA_AM_production + LT_FR_CA_MID_production + LT_FR_CA_PM_production 
",HEREMPN,0.000106663,0.000142572,0.748134298,0.454379156,0.00011
TM-1.7 - Small Truck - Non-Freight - Production,LT_NF_CA_OFF_production + LT_NF_CA_AM_production + LT_NF_CA_MID_production + LT_NF_CA_PM_production,RETEMPN / TOTEMP,76.95217586,34.72585386,2.215990892,0.026692126,76.95218
TM-1.7 - Small Truck - Freight - Production,"LT_FR_CA_OFF_production +  LT_FR_CA_AM_production + LT_FR_CA_MID_production + LT_FR_CA_PM_production 
",AGREMPN,0.050985227,0.046744482,1.090721844,0.275395296,0.05099
TM-1.7 - Small Truck - Freight - Production,"LT_FR_CA_OFF_production +  LT_FR_CA_AM_production + LT_FR_CA_MID_production + LT_FR_CA_PM_production 
",FPSEMPN * CIACRE / 1_000_000,3.756867097,2.417235278,1.554200012,0.120136715,3.75687
,,,,,,,
